City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Butaritari,KI,2022-04-16 19:27:02,3.0707,172.7902,80.42,80,68,14.16
1,Lasa,IT,2022-04-16 19:27:03,46.6166,10.7002,49.08,91,26,7.52
2,Georgetown,MY,2022-04-16 19:22:33,5.4112,100.3354,82.33,92,20,4.61
3,Nanortalik,GL,2022-04-16 19:27:03,60.1432,-45.2371,31.41,80,8,11.01
4,Hithadhoo,MV,2022-04-16 19:27:04,-0.6,73.0833,83.21,67,100,5.28
5,Koutiala,ML,2022-04-16 19:27:04,12.3917,-5.4642,86.5,33,70,11.45
6,Jamestown,US,2022-04-16 19:23:48,42.097,-79.2353,49.51,47,0,16.11
7,Mataura,NZ,2022-04-16 19:27:05,-46.1927,168.8643,39.47,98,62,2.91
8,Abyek,IR,2022-04-16 19:27:05,36.0667,50.55,46.06,59,78,7.11
9,College,US,2022-04-16 19:27:06,64.8569,-147.8028,30.15,42,40,8.05
10,Lagunas,PE,2022-04-16 19:27:06,-5.2269,-75.6753,87.12,63,96,3.2
11,Port Elizabeth,ZA,2022-04-16 19:27:06,-33.918,25.5701,63.1,80,75,12.66
12,Ushuaia,AR,2022-04-16 19:27:07,-54.8,-68.3,44.26,61,40,10.36
13,Lebu,CL,2022-04-16 19:27:07,-37.6167,-73.65,59.95,70,10,14.58
14,Kholmogory,RU,2022-04-16 19:27:08,64.2229,41.656,26.83,96,100,4.12
15,Dothan,US,2022-04-16 19:23:40,31.2232,-85.3905,79.84,69,20,5.75
16,Slave Lake,CA,2022-04-16 19:27:09,55.2834,-114.769,35.58,35,75,10.36
17,Hobart,AU,2022-04-16 19:27:09,-42.8794,147.3294,56.26,89,100,1.99
18,Kinango,KE,2022-04-16 19:27:10,-4.1372,39.3153,75.31,93,100,3.38
19,Havoysund,NO,2022-04-16 19:22:14,70.9963,24.6622,39.43,92,100,34.47
20,Portland,US,2022-04-16 19:24:11,45.5234,-122.6762,54.0,56,75,10.0
21,Mahebourg,MU,2022-04-16 19:27:11,-20.4081,57.7,79.09,78,40,11.5
22,Port Keats,AU,2022-04-16 19:27:11,-14.25,129.55,78.75,63,10,6.13
23,Kirakira,SB,2022-04-16 19:27:11,-10.4544,161.9205,79.29,82,56,5.5
24,Van,TR,2022-04-16 19:25:41,38.4924,43.3831,42.15,61,40,6.91
25,Rikitea,PF,2022-04-16 19:27:12,-23.1203,-134.9692,77.99,71,3,15.3
26,Vaini,TO,2022-04-16 19:27:12,-21.2,-175.2,77.16,88,75,4.61
27,Bathsheba,BB,2022-04-16 19:27:13,13.2167,-59.5167,84.81,61,20,20.71
28,Lafiagi,NG,2022-04-16 19:27:13,8.8667,5.4167,90.3,46,86,4.14
29,Sangar,RU,2022-04-16 19:27:14,63.9242,127.4739,-2.7,99,99,1.25
30,Kenai,US,2022-04-16 19:27:14,60.5544,-151.2583,44.02,60,40,4.61
31,Avarua,CK,2022-04-16 19:27:14,-21.2078,-159.775,82.45,74,75,2.3
